,corruption,accuracy,lr,state,n_subset
0,frost,0.503,0.001,first layer,2000
0,frost,0.5185,0.0001,first layer,2000
0,frost,0.4695,1e-05,first layer,2000
0,gaussian_noise,0.3135,0.001,first layer,2000
0,gaussian_noise,0.2385,0.0001,first layer,2000
0,gaussian_noise,0.177,1e-05,first layer,2000
0,glass_blur,0.3415,0.001,first layer,2000
0,glass_blur,0.28,0.0001,first layer,2000
0,glass_blur,0.204,1e-05,first layer,2000
0,impulse_noise,0.299,0.001,first layer,2000
0,impulse_noise,0.2365,0.0001,first layer,2000
0,impulse_noise,0.166,1e-05,first layer,2000
0,snow,0.566,0.001,first layer,2000
0,snow,0.5625,0.0001,first layer,2000
0,snow,0.4965,1e-05,first layer,2000
0,frost,0.4995,0.001,second layer,2000
0,frost,0.525,0.0001,second layer,2000
0,frost,0.5045,1e-05,second layer,2000
0,gaussian_noise,0.305,0.001,second layer,2000
0,gaussian_noise,0.2635,0.0001,second layer,2000
0,gaussian_noise,0.223,1e-05,second layer,2000
0,glass_blur,0.348,0.001,second layer,2000
0,glass_blur,0.3185,0.0001,second layer,2000
0,glass_blur,0.2455,1e-05,second layer,2000
0,impulse_noise,0.331,0.001,second layer,2000
0,impulse_noise,0.2545,0.0001,second layer,2000
0,impulse_noise,0.209,1e-05,second layer,2000
0,snow,0.5445,0.001,second layer,2000
0,snow,0.581,0.0001,second layer,2000
0,snow,0.5155,1e-05,second layer,2000
0,frost,0.454,0.001,third layer,2000
0,frost,0.528,0.0001,third layer,2000
0,frost,0.5295,1e-05,third layer,2000
0,gaussian_noise,0.2335,0.001,third layer,2000
0,gaussian_noise,0.2965,0.0001,third layer,2000
0,gaussian_noise,0.2505,1e-05,third layer,2000
0,glass_blur,0.2915,0.001,third layer,2000
0,glass_blur,0.3175,0.0001,third layer,2000
0,glass_blur,0.2665,1e-05,third layer,2000
0,impulse_noise,0.285,0.001,third layer,2000
0,impulse_noise,0.29,0.0001,third layer,2000
0,impulse_noise,0.235,1e-05,third layer,2000
0,snow,0.4355,0.001,third layer,2000
0,snow,0.565,0.0001,third layer,2000
0,snow,0.554,1e-05,third layer,2000
0,frost,0.322,0.001,fourth layer,2000
0,frost,0.4885,0.0001,fourth layer,2000
0,frost,0.4715,1e-05,fourth layer,2000
0,gaussian_noise,0.148,0.001,fourth layer,2000
0,gaussian_noise,0.2115,0.0001,fourth layer,2000
0,gaussian_noise,0.2095,1e-05,fourth layer,2000
0,glass_blur,0.1605,0.001,fourth layer,2000
0,glass_blur,0.2225,0.0001,fourth layer,2000
0,glass_blur,0.2155,1e-05,fourth layer,2000
0,impulse_noise,0.1495,0.001,fourth layer,2000
0,impulse_noise,0.203,0.0001,fourth layer,2000
0,impulse_noise,0.1995,1e-05,fourth layer,2000
0,snow,0.3115,0.001,fourth layer,2000
0,snow,0.4845,0.0001,fourth layer,2000
0,snow,0.5005,1e-05,fourth layer,2000
0,frost,0.334,0.001,fully-connected layer,2000
0,frost,0.432,0.0001,fully-connected layer,2000
0,frost,0.459,1e-05,fully-connected layer,2000
0,gaussian_noise,0.137,0.001,fully-connected layer,2000
0,gaussian_noise,0.1395,0.0001,fully-connected layer,2000
0,gaussian_noise,0.1785,1e-05,fully-connected layer,2000
0,glass_blur,0.144,0.001,fully-connected layer,2000
0,glass_blur,0.1605,0.0001,fully-connected layer,2000
0,glass_blur,0.191,1e-05,fully-connected layer,2000
0,impulse_noise,0.1225,0.001,fully-connected layer,2000
0,impulse_noise,0.149,0.0001,fully-connected layer,2000
0,impulse_noise,0.161,1e-05,fully-connected layer,2000
0,snow,0.391,0.001,fully-connected layer,2000
0,snow,0.429,0.0001,fully-connected layer,2000
0,snow,0.461,1e-05,fully-connected layer,2000
