,corruption,accuracy,lr,state,n_subset
0,brightness,0.637,0.001,fully-connected layer,2000
0,contrast,0.1325,0.001,fully-connected layer,2000
0,defocus_blur,0.1265,0.001,fully-connected layer,2000
0,elastic_transform,0.436,0.001,fully-connected layer,2000
0,fog,0.469,0.001,fully-connected layer,2000
0,jpeg_compression,0.2745,0.001,fully-connected layer,2000
0,motion_blur,0.238,0.001,fully-connected layer,2000
0,pixelate,0.333,0.001,fully-connected layer,2000
0,shot_noise,0.144,0.001,fully-connected layer,2000
0,zoom_blur,0.366,0.001,fully-connected layer,2000
