,corruption,accuracy,lr,state,n_subset
0,frost,0.503,0.001,first layer,2000
0,frost,0.5185,0.0001,first layer,2000
0,frost,0.4695,1e-05,first layer,2000
0,gaussian_noise,0.3135,0.001,first layer,2000
0,gaussian_noise,0.2385,0.0001,first layer,2000
0,gaussian_noise,0.177,1e-05,first layer,2000
0,glass_blur,0.3415,0.001,first layer,2000
0,glass_blur,0.28,0.0001,first layer,2000
0,glass_blur,0.204,1e-05,first layer,2000
0,impulse_noise,0.299,0.001,first layer,2000
0,impulse_noise,0.2365,0.0001,first layer,2000
0,impulse_noise,0.166,1e-05,first layer,2000
0,snow,0.566,0.001,first layer,2000
0,snow,0.5625,0.0001,first layer,2000
0,snow,0.4965,1e-05,first layer,2000
0,frost,0.4995,0.001,second layer,2000
0,frost,0.525,0.0001,second layer,2000
0,frost,0.5045,1e-05,second layer,2000
0,gaussian_noise,0.305,0.001,second layer,2000
0,gaussian_noise,0.2635,0.0001,second layer,2000
0,gaussian_noise,0.223,1e-05,second layer,2000
0,glass_blur,0.348,0.001,second layer,2000
0,glass_blur,0.3185,0.0001,second layer,2000
0,glass_blur,0.2455,1e-05,second layer,2000
0,impulse_noise,0.331,0.001,second layer,2000
0,impulse_noise,0.2545,0.0001,second layer,2000
0,impulse_noise,0.209,1e-05,second layer,2000
0,snow,0.5445,0.001,second layer,2000
0,snow,0.581,0.0001,second layer,2000
0,snow,0.5155,1e-05,second layer,2000
