,corruption,accuracy,lr,state,n_subset
0,brightness,0.8475,0.001,fcn,1000
0,brightness,0.8375,0.0001,fcn,1000
0,brightness,0.829,1e-05,fcn,1000
0,contrast,0.8065,0.001,fcn,1000
0,contrast,0.7605,0.0001,fcn,1000
0,contrast,0.7025,1e-05,fcn,1000
0,defocus_blur,0.815,0.001,fcn,1000
0,defocus_blur,0.772,0.0001,fcn,1000
0,defocus_blur,0.721,1e-05,fcn,1000
0,elastic_transform,0.742,0.001,fcn,1000
0,elastic_transform,0.693,0.0001,fcn,1000
0,elastic_transform,0.6475,1e-05,fcn,1000
0,fog,0.7925,0.001,fcn,1000
0,fog,0.731,0.0001,fcn,1000
0,fog,0.7085,1e-05,fcn,1000
0,frost,0.7755,0.001,fcn,1000
0,frost,0.7245,0.0001,fcn,1000
0,frost,0.6875,1e-05,fcn,1000
0,gaussian_blur,0.809,0.001,fcn,1000
0,gaussian_blur,0.753,0.0001,fcn,1000
0,gaussian_blur,0.6965,1e-05,fcn,1000
0,gaussian_noise,0.7605,0.001,fcn,1000
0,gaussian_noise,0.662,0.0001,fcn,1000
0,gaussian_noise,0.6145,1e-05,fcn,1000
0,glass_blur,0.682,0.001,fcn,1000
0,glass_blur,0.568,0.0001,fcn,1000
0,glass_blur,0.493,1e-05,fcn,1000
0,impulse_noise,0.7005,0.001,fcn,1000
0,impulse_noise,0.5835,0.0001,fcn,1000
0,impulse_noise,0.506,1e-05,fcn,1000
0,jpeg_compression,0.752,0.001,fcn,1000
0,jpeg_compression,0.688,0.0001,fcn,1000
0,jpeg_compression,0.6445,1e-05,fcn,1000
0,motion_blur,0.8065,0.001,fcn,1000
0,motion_blur,0.751,0.0001,fcn,1000
0,motion_blur,0.7005,1e-05,fcn,1000
0,pixelate,0.774,0.001,fcn,1000
0,pixelate,0.7125,0.0001,fcn,1000
0,pixelate,0.624,1e-05,fcn,1000
0,saturate,0.856,0.001,fcn,1000
0,saturate,0.855,0.0001,fcn,1000
0,saturate,0.851,1e-05,fcn,1000
0,shot_noise,0.7755,0.001,fcn,1000
0,shot_noise,0.679,0.0001,fcn,1000
0,shot_noise,0.6165,1e-05,fcn,1000
0,snow,0.7835,0.001,fcn,1000
0,snow,0.7505,0.0001,fcn,1000
0,snow,0.7165,1e-05,fcn,1000
0,spatter,0.8105,0.001,fcn,1000
0,spatter,0.7665,0.0001,fcn,1000
0,spatter,0.722,1e-05,fcn,1000
0,speckle_noise,0.7705,0.001,fcn,1000
0,speckle_noise,0.6805,0.0001,fcn,1000
0,speckle_noise,0.622,1e-05,fcn,1000
0,zoom_blur,0.805,0.001,fcn,1000
0,zoom_blur,0.777,0.0001,fcn,1000
0,zoom_blur,0.7305,1e-05,fcn,1000
