,corruption,accuracy,lr,state,n_subset
0,brightness,0.864,0.001,all layers,2000
0,brightness,0.847,0.0001,all layers,2000
0,brightness,0.8385,1e-05,all layers,2000
0,contrast,0.828,0.001,all layers,2000
0,contrast,0.779,0.0001,all layers,2000
0,contrast,0.7335,1e-05,all layers,2000
0,defocus_blur,0.825,0.001,all layers,2000
0,defocus_blur,0.792,0.0001,all layers,2000
0,defocus_blur,0.7575,1e-05,all layers,2000
0,elastic_transform,0.7655,0.001,all layers,2000
0,elastic_transform,0.716,0.0001,all layers,2000
0,elastic_transform,0.6755,1e-05,all layers,2000
0,fog,0.8205,0.001,all layers,2000
0,fog,0.7675,0.0001,all layers,2000
0,fog,0.7265,1e-05,all layers,2000
0,frost,0.7965,0.001,all layers,2000
0,frost,0.7535,0.0001,all layers,2000
0,frost,0.7115,1e-05,all layers,2000
0,gaussian_blur,0.8325,0.001,all layers,2000
0,gaussian_blur,0.792,0.0001,all layers,2000
0,gaussian_blur,0.7275,1e-05,all layers,2000
0,gaussian_noise,0.7665,0.001,all layers,2000
0,gaussian_noise,0.698,0.0001,all layers,2000
0,gaussian_noise,0.6435,1e-05,all layers,2000
0,glass_blur,0.7205,0.001,all layers,2000
0,glass_blur,0.6255,0.0001,all layers,2000
0,glass_blur,0.533,1e-05,all layers,2000
0,impulse_noise,0.715,0.001,all layers,2000
0,impulse_noise,0.6205,0.0001,all layers,2000
0,impulse_noise,0.544,1e-05,all layers,2000
0,jpeg_compression,0.789,0.001,all layers,2000
0,jpeg_compression,0.721,0.0001,all layers,2000
0,jpeg_compression,0.668,1e-05,all layers,2000
0,motion_blur,0.8205,0.001,all layers,2000
0,motion_blur,0.7785,0.0001,all layers,2000
0,motion_blur,0.7255,1e-05,all layers,2000
0,pixelate,0.7975,0.001,all layers,2000
0,pixelate,0.7355,0.0001,all layers,2000
0,pixelate,0.6665,1e-05,all layers,2000
0,saturate,0.869,0.001,all layers,2000
0,saturate,0.866,0.0001,all layers,2000
0,saturate,0.854,1e-05,all layers,2000
0,shot_noise,0.772,0.001,all layers,2000
0,shot_noise,0.7145,0.0001,all layers,2000
0,shot_noise,0.6605,1e-05,all layers,2000
0,snow,0.8055,0.001,all layers,2000
0,snow,0.7675,0.0001,all layers,2000
0,snow,0.7345,1e-05,all layers,2000
0,spatter,0.8415,0.001,all layers,2000
0,spatter,0.7865,0.0001,all layers,2000
0,spatter,0.7505,1e-05,all layers,2000
0,speckle_noise,0.781,0.001,all layers,2000
0,speckle_noise,0.7115,0.0001,all layers,2000
0,speckle_noise,0.658,1e-05,all layers,2000
0,zoom_blur,0.8295,0.001,all layers,2000
0,zoom_blur,0.806,0.0001,all layers,2000
0,zoom_blur,0.756,1e-05,all layers,2000
