,corruption,accuracy,lr,state,n_subset
0,brightness,0.805,0.1,fc,3000
0,brightness,0.811,0.01,fc,3000
0,brightness,0.811,0.001,fc,3000
0,contrast,0.597,0.1,fc,3000
0,contrast,0.599,0.01,fc,3000
0,contrast,0.5845,0.001,fc,3000
0,defocus_blur,0.657,0.1,fc,3000
0,defocus_blur,0.6745,0.01,fc,3000
0,defocus_blur,0.6585,0.001,fc,3000
0,elastic_transform,0.61,0.1,fc,3000
0,elastic_transform,0.6125,0.01,fc,3000
0,elastic_transform,0.5965,0.001,fc,3000
0,fog,0.6605,0.1,fc,3000
0,fog,0.652,0.01,fc,3000
0,fog,0.654,0.001,fc,3000
0,frost,0.6105,0.1,fc,3000
0,frost,0.6285,0.01,fc,3000
0,frost,0.6155,0.001,fc,3000
0,gaussian_blur,0.549,0.1,fc,3000
0,gaussian_blur,0.586,0.01,fc,3000
0,gaussian_blur,0.572,0.001,fc,3000
0,gaussian_noise,0.527,0.1,fc,3000
0,gaussian_noise,0.5415,0.01,fc,3000
0,gaussian_noise,0.5325,0.001,fc,3000
0,glass_blur,0.4365,0.1,fc,3000
0,glass_blur,0.465,0.01,fc,3000
0,glass_blur,0.4425,0.001,fc,3000
0,impulse_noise,0.447,0.1,fc,3000
0,impulse_noise,0.4575,0.01,fc,3000
0,impulse_noise,0.4445,0.001,fc,3000
0,jpeg_compression,0.5425,0.1,fc,3000
0,jpeg_compression,0.5875,0.01,fc,3000
0,jpeg_compression,0.572,0.001,fc,3000
0,motion_blur,0.632,0.1,fc,3000
0,motion_blur,0.647,0.01,fc,3000
0,motion_blur,0.64,0.001,fc,3000
0,pixelate,0.505,0.1,fc,3000
0,pixelate,0.5275,0.01,fc,3000
0,pixelate,0.4965,0.001,fc,3000
0,saturate,0.827,0.1,fc,3000
0,saturate,0.8465,0.01,fc,3000
0,saturate,0.849,0.001,fc,3000
0,shot_noise,0.5485,0.1,fc,3000
0,shot_noise,0.5695,0.01,fc,3000
0,shot_noise,0.551,0.001,fc,3000
0,snow,0.661,0.1,fc,3000
0,snow,0.685,0.01,fc,3000
0,snow,0.6695,0.001,fc,3000
0,spatter,0.689,0.1,fc,3000
0,spatter,0.692,0.01,fc,3000
0,spatter,0.6845,0.001,fc,3000
0,speckle_noise,0.535,0.1,fc,3000
0,speckle_noise,0.573,0.01,fc,3000
0,speckle_noise,0.549,0.001,fc,3000
0,zoom_blur,0.6355,0.1,fc,3000
0,zoom_blur,0.6445,0.01,fc,3000
0,zoom_blur,0.6365,0.001,fc,3000
