,corruption,accuracy,lr,state,n_subset
0,brightness,0.7925,0.1,fcn,2000
0,brightness,0.8095,0.01,fcn,2000
0,brightness,0.8055,0.001,fcn,2000
0,contrast,0.557,0.1,fcn,2000
0,contrast,0.5895,0.01,fcn,2000
0,contrast,0.5765,0.001,fcn,2000
0,defocus_blur,0.641,0.1,fcn,2000
0,defocus_blur,0.6695,0.01,fcn,2000
0,defocus_blur,0.66,0.001,fcn,2000
0,elastic_transform,0.587,0.1,fcn,2000
0,elastic_transform,0.606,0.01,fcn,2000
0,elastic_transform,0.596,0.001,fcn,2000
0,fog,0.6335,0.1,fcn,2000
0,fog,0.6635,0.01,fcn,2000
0,fog,0.6545,0.001,fcn,2000
0,frost,0.603,0.1,fcn,2000
0,frost,0.617,0.01,fcn,2000
0,frost,0.6165,0.001,fcn,2000
0,gaussian_blur,0.5825,0.1,fcn,2000
0,gaussian_blur,0.577,0.01,fcn,2000
0,gaussian_blur,0.569,0.001,fcn,2000
0,gaussian_noise,0.525,0.1,fcn,2000
0,gaussian_noise,0.5325,0.01,fcn,2000
0,gaussian_noise,0.517,0.001,fcn,2000
0,glass_blur,0.4375,0.1,fcn,2000
0,glass_blur,0.4545,0.01,fcn,2000
0,glass_blur,0.44,0.001,fcn,2000
0,impulse_noise,0.431,0.1,fcn,2000
0,impulse_noise,0.4635,0.01,fcn,2000
0,impulse_noise,0.441,0.001,fcn,2000
0,jpeg_compression,0.583,0.1,fcn,2000
0,jpeg_compression,0.5855,0.01,fcn,2000
0,jpeg_compression,0.5745,0.001,fcn,2000
0,motion_blur,0.627,0.1,fcn,2000
0,motion_blur,0.643,0.01,fcn,2000
0,motion_blur,0.6385,0.001,fcn,2000
0,pixelate,0.47,0.1,fcn,2000
0,pixelate,0.531,0.01,fcn,2000
0,pixelate,0.4825,0.001,fcn,2000
0,saturate,0.836,0.1,fcn,2000
0,saturate,0.837,0.01,fcn,2000
0,saturate,0.848,0.001,fcn,2000
0,shot_noise,0.5375,0.1,fcn,2000
0,shot_noise,0.564,0.01,fcn,2000
0,shot_noise,0.546,0.001,fcn,2000
0,snow,0.651,0.1,fcn,2000
0,snow,0.6795,0.01,fcn,2000
0,snow,0.668,0.001,fcn,2000
0,spatter,0.652,0.1,fcn,2000
0,spatter,0.688,0.01,fcn,2000
0,spatter,0.682,0.001,fcn,2000
0,speckle_noise,0.5705,0.1,fcn,2000
0,speckle_noise,0.5575,0.01,fcn,2000
0,speckle_noise,0.5415,0.001,fcn,2000
0,zoom_blur,0.634,0.1,fcn,2000
0,zoom_blur,0.647,0.01,fcn,2000
0,zoom_blur,0.639,0.001,fcn,2000
