,corruption,accuracy,lr,state,n_subset
0,brightness,0.7835,0.1,fcn,1000
0,brightness,0.806,0.01,fcn,1000
0,brightness,0.808,0.001,fcn,1000
0,contrast,0.589,0.1,fcn,1000
0,contrast,0.5825,0.01,fcn,1000
0,contrast,0.56,0.001,fcn,1000
0,defocus_blur,0.6475,0.1,fcn,1000
0,defocus_blur,0.66,0.01,fcn,1000
0,defocus_blur,0.652,0.001,fcn,1000
0,elastic_transform,0.576,0.1,fcn,1000
0,elastic_transform,0.6005,0.01,fcn,1000
0,elastic_transform,0.594,0.001,fcn,1000
0,fog,0.6325,0.1,fcn,1000
0,fog,0.656,0.01,fcn,1000
0,fog,0.652,0.001,fcn,1000
0,frost,0.5985,0.1,fcn,1000
0,frost,0.617,0.01,fcn,1000
0,frost,0.607,0.001,fcn,1000
0,gaussian_blur,0.5595,0.1,fcn,1000
0,gaussian_blur,0.5765,0.01,fcn,1000
0,gaussian_blur,0.5555,0.001,fcn,1000
0,gaussian_noise,0.528,0.1,fcn,1000
0,gaussian_noise,0.5315,0.01,fcn,1000
0,gaussian_noise,0.5015,0.001,fcn,1000
0,glass_blur,0.441,0.1,fcn,1000
0,glass_blur,0.4545,0.01,fcn,1000
0,glass_blur,0.4315,0.001,fcn,1000
0,impulse_noise,0.411,0.1,fcn,1000
0,impulse_noise,0.457,0.01,fcn,1000
0,impulse_noise,0.4245,0.001,fcn,1000
0,jpeg_compression,0.5605,0.1,fcn,1000
0,jpeg_compression,0.578,0.01,fcn,1000
0,jpeg_compression,0.5655,0.001,fcn,1000
0,motion_blur,0.6465,0.1,fcn,1000
0,motion_blur,0.641,0.01,fcn,1000
0,motion_blur,0.6365,0.001,fcn,1000
0,pixelate,0.515,0.1,fcn,1000
0,pixelate,0.514,0.01,fcn,1000
0,pixelate,0.454,0.001,fcn,1000
0,saturate,0.824,0.1,fcn,1000
0,saturate,0.8455,0.01,fcn,1000
0,saturate,0.8505,0.001,fcn,1000
0,shot_noise,0.5365,0.1,fcn,1000
0,shot_noise,0.559,0.01,fcn,1000
0,shot_noise,0.5335,0.001,fcn,1000
0,snow,0.659,0.1,fcn,1000
0,snow,0.678,0.01,fcn,1000
0,snow,0.661,0.001,fcn,1000
0,spatter,0.6825,0.1,fcn,1000
0,spatter,0.6875,0.01,fcn,1000
0,spatter,0.681,0.001,fcn,1000
0,speckle_noise,0.551,0.1,fcn,1000
0,speckle_noise,0.5485,0.01,fcn,1000
0,speckle_noise,0.525,0.001,fcn,1000
0,zoom_blur,0.6265,0.1,fcn,1000
0,zoom_blur,0.6385,0.01,fcn,1000
0,zoom_blur,0.629,0.001,fcn,1000
