,corruption,accuracy,lr,state,n_subset
0,brightness,0.871,0.001,fulltune,3000
0,brightness,0.848,0.0001,fulltune,3000
0,brightness,0.84,1e-05,fulltune,3000
0,contrast,0.8175,0.001,fulltune,3000
0,contrast,0.7885,0.0001,fulltune,3000
0,contrast,0.7545,1e-05,fulltune,3000
0,defocus_blur,0.8125,0.001,fulltune,3000
0,defocus_blur,0.8065,0.0001,fulltune,3000
0,defocus_blur,0.774,1e-05,fulltune,3000
0,elastic_transform,0.7415,0.001,fulltune,3000
0,elastic_transform,0.7225,0.0001,fulltune,3000
0,elastic_transform,0.683,1e-05,fulltune,3000
0,fog,0.845,0.001,fulltune,3000
0,fog,0.795,0.0001,fulltune,3000
0,fog,0.746,1e-05,fulltune,3000
0,frost,0.772,0.001,fulltune,3000
0,frost,0.7685,0.0001,fulltune,3000
0,frost,0.726,1e-05,fulltune,3000
0,gaussian_blur,0.79,0.001,fulltune,3000
0,gaussian_blur,0.7945,0.0001,fulltune,3000
0,gaussian_blur,0.753,1e-05,fulltune,3000
0,gaussian_noise,0.732,0.001,fulltune,3000
0,gaussian_noise,0.7105,0.0001,fulltune,3000
0,gaussian_noise,0.666,1e-05,fulltune,3000
0,glass_blur,0.698,0.001,fulltune,3000
0,glass_blur,0.651,0.0001,fulltune,3000
0,glass_blur,0.559,1e-05,fulltune,3000
0,impulse_noise,0.7445,0.001,fulltune,3000
0,impulse_noise,0.6485,0.0001,fulltune,3000
0,impulse_noise,0.5795,1e-05,fulltune,3000
0,jpeg_compression,0.771,0.001,fulltune,3000
0,jpeg_compression,0.7265,0.0001,fulltune,3000
0,jpeg_compression,0.687,1e-05,fulltune,3000
0,motion_blur,0.8305,0.001,fulltune,3000
0,motion_blur,0.7905,0.0001,fulltune,3000
0,motion_blur,0.744,1e-05,fulltune,3000
0,pixelate,0.779,0.001,fulltune,3000
0,pixelate,0.7615,0.0001,fulltune,3000
0,pixelate,0.689,1e-05,fulltune,3000
0,saturate,0.8815,0.001,fulltune,3000
0,saturate,0.866,0.0001,fulltune,3000
0,saturate,0.8565,1e-05,fulltune,3000
0,shot_noise,0.7615,0.001,fulltune,3000
0,shot_noise,0.7305,0.0001,fulltune,3000
0,shot_noise,0.678,1e-05,fulltune,3000
0,snow,0.763,0.001,fulltune,3000
0,snow,0.775,0.0001,fulltune,3000
0,snow,0.7485,1e-05,fulltune,3000
0,spatter,0.847,0.001,fulltune,3000
0,spatter,0.799,0.0001,fulltune,3000
0,spatter,0.772,1e-05,fulltune,3000
0,speckle_noise,0.805,0.001,fulltune,3000
0,speckle_noise,0.735,0.0001,fulltune,3000
0,speckle_noise,0.6815,1e-05,fulltune,3000
0,zoom_blur,0.799,0.001,fulltune,3000
0,zoom_blur,0.813,0.0001,fulltune,3000
0,zoom_blur,0.776,1e-05,fulltune,3000
