,corruption,accuracy,lr,state,n_subset
0,brightness,0.8475,0.001,all layers,2000
0,brightness,0.8415,0.0001,all layers,2000
0,brightness,0.831,1e-05,all layers,2000
0,contrast,0.7495,0.001,all layers,2000
0,contrast,0.717,0.0001,all layers,2000
0,contrast,0.649,1e-05,all layers,2000
0,defocus_blur,0.783,0.001,all layers,2000
0,defocus_blur,0.765,0.0001,all layers,2000
0,defocus_blur,0.71,1e-05,all layers,2000
0,elastic_transform,0.693,0.001,all layers,2000
0,elastic_transform,0.6805,0.0001,all layers,2000
0,elastic_transform,0.62,1e-05,all layers,2000
0,fog,0.7525,0.001,all layers,2000
0,fog,0.7315,0.0001,all layers,2000
0,fog,0.694,1e-05,all layers,2000
0,frost,0.733,0.001,all layers,2000
0,frost,0.709,0.0001,all layers,2000
0,frost,0.6525,1e-05,all layers,2000
0,gaussian_blur,0.7635,0.001,all layers,2000
0,gaussian_blur,0.742,0.0001,all layers,2000
0,gaussian_blur,0.6705,1e-05,all layers,2000
0,gaussian_noise,0.6775,0.001,all layers,2000
0,gaussian_noise,0.64,0.0001,all layers,2000
0,gaussian_noise,0.5925,1e-05,all layers,2000
0,glass_blur,0.629,0.001,all layers,2000
0,glass_blur,0.5755,0.0001,all layers,2000
0,glass_blur,0.462,1e-05,all layers,2000
0,impulse_noise,0.612,0.001,all layers,2000
0,impulse_noise,0.549,0.0001,all layers,2000
0,impulse_noise,0.4795,1e-05,all layers,2000
0,jpeg_compression,0.7015,0.001,all layers,2000
0,jpeg_compression,0.6785,0.0001,all layers,2000
0,jpeg_compression,0.62,1e-05,all layers,2000
0,motion_blur,0.7695,0.001,all layers,2000
0,motion_blur,0.739,0.0001,all layers,2000
0,motion_blur,0.6775,1e-05,all layers,2000
0,pixelate,0.7325,0.001,all layers,2000
0,pixelate,0.697,0.0001,all layers,2000
0,pixelate,0.616,1e-05,all layers,2000
0,saturate,0.8615,0.001,all layers,2000
0,saturate,0.856,0.0001,all layers,2000
0,saturate,0.85,1e-05,all layers,2000
0,shot_noise,0.715,0.001,all layers,2000
0,shot_noise,0.672,0.0001,all layers,2000
0,shot_noise,0.612,1e-05,all layers,2000
0,snow,0.7735,0.001,all layers,2000
0,snow,0.7345,0.0001,all layers,2000
0,snow,0.696,1e-05,all layers,2000
0,spatter,0.7845,0.001,all layers,2000
0,spatter,0.764,0.0001,all layers,2000
0,spatter,0.7145,1e-05,all layers,2000
0,speckle_noise,0.7225,0.001,all layers,2000
0,speckle_noise,0.683,0.0001,all layers,2000
0,speckle_noise,0.6045,1e-05,all layers,2000
0,zoom_blur,0.781,0.001,all layers,2000
0,zoom_blur,0.77,0.0001,all layers,2000
0,zoom_blur,0.7025,1e-05,all layers,2000
