,corruption,accuracy,lr,state,n_subset
0,brightness,0.8335,0.001,layer3,1000
0,brightness,0.8305,0.0001,layer3,1000
0,brightness,0.818,1e-05,layer3,1000
0,contrast,0.7125,0.001,layer3,1000
0,contrast,0.687,0.0001,layer3,1000
0,contrast,0.637,1e-05,layer3,1000
0,defocus_blur,0.742,0.001,layer3,1000
0,defocus_blur,0.718,0.0001,layer3,1000
0,defocus_blur,0.6835,1e-05,layer3,1000
0,elastic_transform,0.683,0.001,layer3,1000
0,elastic_transform,0.661,0.0001,layer3,1000
0,elastic_transform,0.617,1e-05,layer3,1000
0,fog,0.7095,0.001,layer3,1000
0,fog,0.6955,0.0001,layer3,1000
0,fog,0.6845,1e-05,layer3,1000
0,frost,0.707,0.001,layer3,1000
0,frost,0.6905,0.0001,layer3,1000
0,frost,0.661,1e-05,layer3,1000
0,gaussian_blur,0.7175,0.001,layer3,1000
0,gaussian_blur,0.6765,0.0001,layer3,1000
0,gaussian_blur,0.6225,1e-05,layer3,1000
0,gaussian_noise,0.649,0.001,layer3,1000
0,gaussian_noise,0.618,0.0001,layer3,1000
0,gaussian_noise,0.5545,1e-05,layer3,1000
0,glass_blur,0.585,0.001,layer3,1000
0,glass_blur,0.533,0.0001,layer3,1000
0,glass_blur,0.4525,1e-05,layer3,1000
0,impulse_noise,0.562,0.001,layer3,1000
0,impulse_noise,0.508,0.0001,layer3,1000
0,impulse_noise,0.4675,1e-05,layer3,1000
0,jpeg_compression,0.6705,0.001,layer3,1000
0,jpeg_compression,0.6305,0.0001,layer3,1000
0,jpeg_compression,0.602,1e-05,layer3,1000
0,motion_blur,0.719,0.001,layer3,1000
0,motion_blur,0.6885,0.0001,layer3,1000
0,motion_blur,0.664,1e-05,layer3,1000
0,pixelate,0.6735,0.001,layer3,1000
0,pixelate,0.6255,0.0001,layer3,1000
0,pixelate,0.56,1e-05,layer3,1000
0,saturate,0.8385,0.001,layer3,1000
0,saturate,0.8525,0.0001,layer3,1000
0,saturate,0.848,1e-05,layer3,1000
0,shot_noise,0.6835,0.001,layer3,1000
0,shot_noise,0.638,0.0001,layer3,1000
0,shot_noise,0.5795,1e-05,layer3,1000
0,snow,0.744,0.001,layer3,1000
0,snow,0.7285,0.0001,layer3,1000
0,snow,0.693,1e-05,layer3,1000
0,spatter,0.744,0.001,layer3,1000
0,spatter,0.721,0.0001,layer3,1000
0,spatter,0.695,1e-05,layer3,1000
0,speckle_noise,0.68,0.001,layer3,1000
0,speckle_noise,0.6245,0.0001,layer3,1000
0,speckle_noise,0.5855,1e-05,layer3,1000
0,zoom_blur,0.7605,0.001,layer3,1000
0,zoom_blur,0.7315,0.0001,layer3,1000
0,zoom_blur,0.692,1e-05,layer3,1000
