,corruption,accuracy,lr,state,n_subset
0,frost,0.503,0.001,first layer,2000
0,frost,0.5185,0.0001,first layer,2000
0,frost,0.4695,1e-05,first layer,2000
0,gaussian_noise,0.3135,0.001,first layer,2000
0,gaussian_noise,0.2385,0.0001,first layer,2000
0,gaussian_noise,0.177,1e-05,first layer,2000
0,glass_blur,0.3415,0.001,first layer,2000
0,glass_blur,0.28,0.0001,first layer,2000
0,glass_blur,0.204,1e-05,first layer,2000
0,impulse_noise,0.299,0.001,first layer,2000
0,impulse_noise,0.2365,0.0001,first layer,2000
0,impulse_noise,0.166,1e-05,first layer,2000
0,snow,0.566,0.001,first layer,2000
0,snow,0.5625,0.0001,first layer,2000
0,snow,0.4965,1e-05,first layer,2000
